Day,Department,Section,course code,course name,teacher,time,room
Saturday,DBA,BBA-31-C,ACC 302,Taxation,MPS,8.30am-09.55am,308
Saturday,DBA,BBA-34-C,ACC201,Cost Accounting,MAA,8.30am-09.55am,214
Saturday,LLb,LLB 30,ADL 457,Administrative Law,ABT,8.30am-09.55am,110
Saturday,BFT,BFT-36,ART 123,Fas. Art & Elements of Design,RHS,8.30am-09.55am,D105L
Saturday,BFT,BFT-29,ART 321,Aesthetic of Art,MJU(GT),8.30am-09.55am,223L
Saturday,JRN,JRN-33,BPJ 304,Electronic Journalism,TAE,8.30am-09.55am,D305
Saturday,JRN,JRN-32,BPJ 309,Media Management,MDA,8.30am-09.55am,D304
Saturday,JRN,JRN-30,BPJ 413,Photo Journalism,MSZ,8.30am-09.55am,204
Saturday,BTE,BTE-36-D,PHY 111,Physics-l,MAH,8.30am-09.55am,221
Saturday,DBA,BBA-34-A,BUS 200,Business Communication,MSS2,8.30am-09.55am,208
Saturday,DBA,BBA-33-C,BUS 300,International Trade,MMR3,8.30am-09.55am,212
Saturday,BTE,BTE-33,BUS 321,Business Communicative English,MTA,8.30am-09.55am,D104L
Saturday,CEN,CEN-35,CEN 211,Mechanics of Solids I,DSK (GT),8.30am-09.55am,109L
Saturday,CEN,CEN-31,CEN 317,Design of Concrete Structures II,DAR (GT),8.30am-09.55am,CL1
Saturday,CEN,CEN-32,CEN 331,Environmental Engineering I,DAH (GT),8.30am-09.55am,CL2
Saturday,CSE,CSE 35-D-B,CHEM 111,Chemistry,MJA,8.30am-09.55am,206
Saturday,CSE,CSE-35-A,CSE 121,Structured Programming Language,NKC,8.30am-09.55am,206
Saturday,CSE,BTE-35-D,CSE 212,Intro. to Com. & Programming Tech.s,MJK,8.30am-09.55am,219
Saturday,CSE,CSE 32-D-B1,CSE 232,Operating System Concept Lab,MMR,8.30am-09.55am,B601L
Saturday,CSE,CSE-29-D-B,CSE 443,Mobile and Telecommunication,MTA4,8.30am-09.55am,111
Saturday,CSE,CSE-29-D-A,CSE 454,Digital Image Processing Lab,MMB,8.30am-09.55am,D204L
Saturday,DBA,BBA-33-E,MAT 101,Business Mathematics II,SRA,8.30am-09.55am,110
Saturday,DBA,BBA-29-B,MGT 302,Entrepreneurship & Small Business,MIA2,8.30am-09.55am,306
Saturday,EEE,EEE-31,EEE 312,Measurement and Instrument Lab,MHA,8.30am-09.55am,D205L
Saturday,EEE,EEE-32,EEE 323,Communication Theory,AJI,8.30am-09.55am,D201L
Saturday,EEE,EEE-31,EEE 339,Semiconductor Physics and Devices,AJI,8.30am-09.55am,D201L
Saturday,EEE,EEE-30,EEE 447,VLSI-I,QDH,8.30am-09.55am,301L
Saturday,ENG,ENF-35+36,ELIT 519,Career Planning and Development,MMI,8.30am-09.55am,117
Saturday,ENG,ENG-36A,ENG 101,Composition,MJA3,8.30am-09.55am,318
